City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,77.43,light rain,-23.1203,-134.9692,People ThankYou
5,Ocos,GT,83.14,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
9,Pochutla,MX,80.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
16,Limon,CR,80.04,few clouds,10.0,-83.0333,Hotel Playa Bonita
25,Lorengau,PG,83.61,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
30,Avarua,CK,80.78,scattered clouds,-21.2078,-159.775,Paradise Inn
36,Geraldton,AU,82.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
43,Nago,JP,81.03,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
44,Kidal,ML,82.96,broken clouds,18.4411,1.4078,
46,Barra Patuca,HN,79.74,scattered clouds,15.8,-84.2833,
48,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
51,Atambua,ID,84.65,few clouds,-9.1061,124.8925,Kost Alfa Flat
53,Carnarvon,AU,78.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
58,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
60,Yaan,NG,76.41,light rain,7.3833,8.5667,
64,Butaritari,KI,82.45,few clouds,3.0707,172.7902,Isles Sunset Lodge
68,Kavaratti,IN,84.88,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
70,Faanui,PF,82.18,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
73,Mareeba,AU,79.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
77,Nizwa,OM,85.84,clear sky,22.9333,57.5333,Orient Apartments
79,Victoria,HK,86.18,broken clouds,22.2855,114.1577,Mini Hotel Central
91,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
94,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
96,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
103,Kralendijk,BQ,79.54,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
104,Cap Malheureux,MU,79.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
105,Cockburn Town,TC,78.75,clear sky,21.4612,-71.1419,Osprey Beach Hotel
108,Banda Aceh,ID,84.07,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
109,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
111,Atuona,PF,78.93,scattered clouds,-9.8,-139.0333,Villa Enata
113,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
118,Naze,JP,76.12,light rain,28.3667,129.4833,Shishime Hotel
119,Harper,LR,80.01,light rain,4.375,-7.7169,Screensaver
127,Pathein,MM,82.54,overcast clouds,16.7833,94.7333,Pathein Hotel
129,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
130,Magadi,IN,87.76,broken clouds,12.9667,77.2333,Gobi centre
132,Katobu,ID,84.13,overcast clouds,-4.9408,122.5276,La Ode Husein
