City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,26.46,shower rain
1,Busselton,AU,-33.65,115.3333,64.69,65,0,4.29,clear sky
2,Temerloh,MY,3.4483,102.4176,82.04,84,100,0.98,overcast clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,71.73,90,100,6.38,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,76.24,75,32,16.71,scattered clouds
5,Albany,US,42.6001,-73.9662,49.64,50,69,4.47,broken clouds
6,Srednekolymsk,RU,67.45,153.6833,36.18,93,47,11.05,scattered clouds
7,Port Alfred,ZA,-33.5906,26.891,61.14,82,100,6.22,light rain
8,Longyearbyen,SJ,78.2186,15.6401,12.04,62,40,14.97,scattered clouds
9,Carnarvon,AU,-24.8667,113.6333,71.67,68,25,5.75,scattered clouds
10,Mount Gambier,AU,-37.8333,140.7667,55.31,82,100,5.75,overcast clouds
11,Arraial Do Cabo,BR,-22.9661,-42.0278,72.88,66,16,7.83,few clouds
12,Norman Wells,CA,65.282,-126.8329,46.44,36,75,8.05,broken clouds
13,Tezu,IN,27.9167,96.1667,85.28,46,7,2.57,clear sky
14,Krasnyy Chikoy,RU,50.3643,108.7512,37.42,71,100,14.41,overcast clouds
15,Ortakoy,TR,38.7373,34.0387,32.25,76,76,2.98,broken clouds
16,Mataura,NZ,-46.1927,168.8643,57.47,93,91,4.85,overcast clouds
17,Henties Bay,NA,-22.116,14.2845,58.19,78,0,4.41,clear sky
18,Kaitangata,NZ,-46.2817,169.8464,54.3,92,99,4.76,overcast clouds
19,Grand Gaube,MU,-20.0064,57.6608,72.0,81,1,9.6,clear sky
20,Ulladulla,AU,-35.35,150.4667,62.76,66,57,8.93,light rain
21,Grindavik,IS,63.8424,-22.4338,48.15,93,100,17.27,overcast clouds
22,Botwood,CA,49.1499,-55.3482,34.03,66,100,1.3,overcast clouds
23,Faanui,PF,-16.4833,-151.75,82.13,74,12,11.16,few clouds
24,Utinga,BR,-5.8172,-35.3954,77.85,88,0,9.22,light rain
25,Castro,BR,-24.7911,-50.0119,50.18,98,21,4.81,few clouds
26,Tasiilaq,GL,65.6145,-37.6368,29.73,64,94,2.93,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,42.46,70,40,5.75,scattered clouds
28,San Vicente,AR,-26.6167,-54.1333,52.57,91,0,2.24,clear sky
29,Faya,SA,18.3851,42.4509,66.31,58,0,0.89,clear sky
30,Atuona,PF,-9.8,-139.0333,78.82,76,1,14.72,clear sky
31,Hambantota,LK,6.1241,81.1185,82.74,94,75,10.36,broken clouds
32,Flers,FR,48.7372,-0.5747,44.85,96,3,3.58,clear sky
33,Dawson Creek,CA,55.7666,-120.2362,33.44,80,20,14.97,few clouds
34,Chebenki,RU,51.9337,55.7077,53.35,43,100,11.05,overcast clouds
35,Butaritari,KI,3.0707,172.7902,81.68,76,13,19.3,few clouds
36,Georgetown,MY,5.4112,100.3354,84.13,87,20,3.44,moderate rain
37,Cape Town,ZA,-33.9258,18.4232,55.11,89,0,2.3,clear sky
38,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.82,76,47,9.13,scattered clouds
39,Kapaa,US,22.0752,-159.319,82.38,83,14,5.99,few clouds
40,Mahibadhoo,MV,3.7833,72.9667,83.48,78,100,18.61,overcast clouds
41,Bengkulu,ID,-3.8004,102.2655,83.8,65,30,2.3,scattered clouds
42,North Vanlaiphai,IN,23.1333,93.0667,68.63,81,67,0.36,broken clouds
43,Tokur,RU,53.1333,132.9,50.27,49,100,3.02,overcast clouds
44,Hilo,US,19.7297,-155.09,87.28,89,38,5.99,scattered clouds
45,Hithadhoo,MV,-0.6,73.0833,84.24,77,99,20.47,moderate rain
46,Penhold,CA,52.1334,-113.8687,45.84,57,100,11.5,overcast clouds
47,Thompson,CA,55.7435,-97.8558,49.41,73,45,6.26,scattered clouds
48,Dikson,RU,73.5069,80.5464,32.5,98,100,20.36,snow
49,Virginia Beach,US,36.8529,-75.978,53.01,86,100,19.57,mist
50,Muisne,EC,0.6,-80.0333,77.27,88,100,8.57,overcast clouds
51,Bambous Virieux,MU,-20.3428,57.7575,71.22,85,24,5.55,few clouds
52,Parnamirim,BR,-5.9156,-35.2628,77.34,88,0,9.22,light rain
53,Trelew,AR,-43.249,-65.3051,55.76,37,0,5.61,clear sky
54,Kavaratti,IN,10.5669,72.642,85.26,67,100,16.2,overcast clouds
55,Yagodnoye,RU,62.55,149.6667,34.05,94,11,3.85,few clouds
56,Coquimbo,CL,-29.9533,-71.3436,56.7,85,4,2.04,clear sky
57,Bluff,NZ,-46.6,168.3333,57.79,82,100,8.03,overcast clouds
58,Broome,US,42.2506,-75.833,47.19,60,8,3.6,clear sky
59,Hermanus,ZA,-34.4187,19.2345,58.14,74,100,4.61,overcast clouds
60,Sheltozero,RU,61.3667,35.3667,33.48,91,99,4.47,light snow
61,Barrow,US,71.2906,-156.7887,33.82,80,100,11.5,overcast clouds
62,Isangel,VU,-19.55,169.2667,79.61,56,27,15.64,scattered clouds
63,Yulara,AU,-25.2406,130.9889,60.64,29,78,11.5,broken clouds
64,Collie,AU,-33.3667,116.15,65.43,62,0,2.24,clear sky
65,Ngoro,ID,-7.6839,112.258,83.41,76,81,1.68,broken clouds
66,Canaries,ES,28.0,-15.5,60.39,77,20,17.27,few clouds
67,Alofi,NU,-19.0595,-169.9187,78.58,79,51,10.92,moderate rain
68,Nishihara,JP,26.1842,127.7558,78.08,78,75,10.36,light rain
69,Ribeira Grande,PT,38.5167,-28.7,62.91,86,97,5.97,overcast clouds
70,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.6,89,82,8.61,broken clouds
71,Guerrero Negro,MX,27.9769,-114.0611,60.28,76,0,19.82,clear sky
72,Brokopondo,SR,4.75,-55.1667,76.28,87,9,9.98,clear sky
73,Esperance,AU,-33.8667,121.9,66.9,47,0,6.31,clear sky
74,Uige,AO,-7.6087,15.0613,67.69,84,17,2.98,few clouds
75,Chumikan,RU,54.7183,135.315,36.59,89,91,5.23,overcast clouds
76,Half Moon Bay,US,37.4636,-122.4286,57.02,69,0,29.93,haze
77,Kodiak,US,57.79,-152.4072,44.44,68,37,2.46,scattered clouds
78,Kutum,SD,14.2,24.6667,72.52,10,94,5.59,overcast clouds
79,Lompoc,US,34.6391,-120.4579,60.57,57,1,11.99,clear sky
80,Tukrah,LY,32.5341,20.5791,60.87,85,0,4.38,clear sky
81,Nikolskoye,RU,59.7035,30.7861,37.71,85,0,5.44,clear sky
82,Bethel,US,41.3712,-73.414,51.89,46,100,3.0,overcast clouds
83,Yellowknife,CA,62.456,-114.3525,27.12,80,100,31.07,overcast clouds
84,Picos,BR,-7.0769,-41.4669,79.18,57,95,2.46,overcast clouds
85,Pevek,RU,69.7008,170.3133,25.12,77,99,5.03,overcast clouds
86,Jamestown,US,42.097,-79.2353,47.52,77,0,6.87,clear sky
87,Mahebourg,MU,-20.4081,57.7,71.26,84,27,5.28,scattered clouds
88,Te Anau,NZ,-45.4167,167.7167,55.69,78,52,0.89,broken clouds
